iter	Passed	Remaining
0	241	241660
1	319	159459
2	398	132551
3	453	113012
4	533	106119
5	617	102260
6	705	100096
7	784	97247
8	862	94968
9	939	93046
10	1021	91829
11	1118	92059
12	1209	91841
13	1291	90985
14	1370	89971
15	1447	89006
16	1529	88417
17	1609	87801
18	1688	87171
19	1777	87098
20	1862	86807
21	1946	86538
22	2027	86107
23	2106	85672
24	2190	85426
25	2271	85092
26	2352	84788
27	2427	84267
28	2509	84010
29	2591	83802
30	2674	83584
31	2756	83388
32	2834	83046
33	2925	83132
34	3004	82831
35	3084	82607
36	3166	82413
37	3254	82390
38	3336	82217
39	3414	81955
40	3493	81716
41	3571	81454
42	3659	81434
43	3746	81400
44	3821	81092
45	3899	80867
46	3979	80696
47	4056	80445
48	4135	80258
49	4215	80100
50	4306	80138
51	4383	79913
52	4463	79750
53	4543	79593
54	4616	79321
55	4693	79115
56	4769	78901
57	4846	78720
58	4924	78538
59	5002	78372
60	5081	78219
61	5177	78336
62	5253	78128
63	5337	78066
64	5414	77888
65	5495	77767
66	5576	77651
67	5650	77451
68	5731	77331
69	5806	77143
70	5883	76985
71	5959	76806
72	6036	76655
73	6114	76516
74	6193	76391
75	6273	76267
76	6366	76309
77	6445	76189
78	6529	76122
79	6632	76277
80	6732	76388
81	6826	76428
82	6928	76546
83	7007	76411
84	7096	76388
85	7198	76507
86	7297	76584
87	7387	76560
88	7466	76426
89	7551	76356
90	7630	76219
91	7713	76125
92	7804	76110
93	7886	76011
94	7965	75883
95	8047	75777
96	8123	75622
97	8221	75673
98	8294	75491
99	8373	75357
100	8451	75230
101	8529	75097
102	8607	74963
103	8688	74857
104	8764	74702
105	8845	74605
106	8918	74435
107	8995	74300
108	9070	74141
109	9154	74067
110	9235	73966
111	9313	73842
112	9390	73708
113	9471	73613
114	9569	73646
115	9667	73670
116	9765	73702
117	9871	73785
118	9963	73764
119	10059	73772
120	10151	73746
121	10242	73712
122	10324	73615
123	10398	73459
124	10474	73320
125	10553	73206
126	10630	73074
127	10711	72972
128	10788	72843
129	10862	72697
130	10942	72589
131	11017	72448
132	11098	72348
133	11179	72247
134	11252	72101
135	11330	71979
136	11404	71837
137	11478	71697
138	11551	71549
139	11629	71436
140	11704	71308
141	11769	71112
142	11842	70969
143	11922	70871
144	11997	70744
145	12074	70629
146	12151	70512
147	12231	70413
148	12309	70305
149	12394	70235
150	12506	70320
151	12597	70278
152	12690	70252
153	12775	70179
154	12852	70065
155	12934	69979
156	13020	69911
157	13105	69841
158	13191	69776
159	13267	69653
160	13348	69559
161	13419	69416
162	13498	69314
163	13581	69234
164	13657	69115
165	13738	69024
166	13847	69069
167	13946	69070
168	14055	69111
169	14153	69104
170	14256	69112
171	14334	69006
172	14413	68902
173	14504	68856
174	14580	68738
175	14667	68671
176	14746	68568
177	14832	68497
178	14926	68460
179	15025	68448
180	15112	68381
181	15199	68315
182	15273	68188
183	15344	68051
184	15439	68015
185	15518	67915
186	15597	67813
187	15686	67754
188	15791	67760
189	15921	67877
190	16003	67783
191	16076	67657
192	16175	67635
193	16253	67526
194	16339	67454
195	16411	67321
196	16515	67318
197	16611	67285
198	16695	67202
199	16774	67099
200	16859	67017
201	16940	66923
202	17043	66915
203	17143	66895
204	17292	67059
205	17392	67036
206	17492	67012
207	17608	67049
208	17694	66968
209	17792	66931
210	17885	66879
211	17983	66845
212	18089	66836
213	18204	66861
214	18286	66765
215	18370	66679
216	18448	66567
217	18548	66537
218	18656	66533
219	18771	66555
220	18875	66532
221	18979	66512
222	19063	66421
223	19178	66441
224	19283	66419
225	19357	66295
226	19442	66207
227	19534	66144
228	19614	66038
229	19696	65939
230	19778	65842
231	19855	65729
232	19939	65637
233	20042	65608
234	20152	65601
235	20257	65580
236	20341	65486
237	20423	65390
238	20495	65259
239	20573	65150
240	20651	65038
241	20725	64918
242	20816	64848
243	20916	64806
244	21018	64770
245	21127	64757
246	21224	64703
247	21354	64752
248	21427	64626
249	21508	64525
250	21586	64414
251	21671	64326
252	21754	64230
253	21860	64203
254	21952	64135
255	22034	64038
256	22111	63925
257	22212	63881
258	22284	63755
259	22368	63663
260	22441	63541
261	22523	63445
262	22599	63329
263	22681	63232
264	22759	63124
265	22840	63025
266	22925	62937
267	22999	62820
268	23080	62720
269	23151	62595
270	23236	62508
271	23311	62393
272	23391	62292
273	23464	62173
274	23552	62092
275	23639	62009
276	23734	61948
277	23846	61932
278	23933	61850
279	24038	61812
280	24135	61755
